Animal,weight,strain,swv,clock,trial,weeks,Experiment,category,col1A1,IGF,IL1,CTGF,TGF,AKT3,AXL,aSMA_prot,perf
3024,0.14,10,2.06,9,2,6,30,4,2.861247228,0.916875948,8.467064738,1.311343146,1.311343146,0.776760251,1.01478978,1.345131754,1
3024,0.14,10,1.49,9,3,6,30,4,2.861247228,0.916875948,8.467064738,1.311343146,1.311343146,0.776760251,1.01478978,1.345131754,1
3024,0.14,10,1.83,12,1,6,30,4,2.861247228,0.916875948,8.467064738,1.311343146,1.311343146,0.776760251,1.01478978,1.345131754,1
3024,0.14,10,2.15,12,2,6,30,4,2.861247228,0.916875948,8.467064738,1.311343146,1.311343146,0.776760251,1.01478978,1.345131754,1
3024,0.14,10,2.15,12,3,6,30,4,2.861247228,0.916875948,8.467064738,1.311343146,1.311343146,0.776760251,1.01478978,1.345131754,1
3024,0.14,10,0.82,3,1,6,30,4,2.861247228,0.916875948,8.467064738,1.311343146,1.311343146,0.776760251,1.01478978,1.345131754,1
3024,0.14,10,0.83,3,2,6,30,4,2.861247228,0.916875948,8.467064738,1.311343146,1.311343146,0.776760251,1.01478978,1.345131754,1
3024,0.14,10,0.8,3,3,6,30,4,2.861247228,0.916875948,8.467064738,1.311343146,1.311343146,0.776760251,1.01478978,1.345131754,1
3024,0.14,20,1.15,9,1,6,30,4,2.861247228,0.916875948,8.467064738,1.311343146,1.311343146,0.776760251,1.01478978,1.345131754,1
3024,0.14,20,1.18,9,2,6,30,4,2.861247228,0.916875948,8.467064738,1.311343146,1.311343146,0.776760251,1.01478978,1.345131754,1
3024,0.14,20,1.06,9,3,6,30,4,2.861247228,0.916875948,8.467064738,1.311343146,1.311343146,0.776760251,1.01478978,1.345131754,1
3024,0.14,20,2.13,12,1,6,30,4,2.861247228,0.916875948,8.467064738,1.311343146,1.311343146,0.776760251,1.01478978,1.345131754,1
3024,0.14,20,2.38,12,2,6,30,4,2.861247228,0.916875948,8.467064738,1.311343146,1.311343146,0.776760251,1.01478978,1.345131754,1
3024,0.14,20,2.57,12,3,6,30,4,2.861247228,0.916875948,8.467064738,1.311343146,1.311343146,0.776760251,1.01478978,1.345131754,1
3024,0.14,20,0.84,3,1,6,30,4,2.861247228,0.916875948,8.467064738,1.311343146,1.311343146,0.776760251,1.01478978,1.345131754,1
3024,0.14,20,1.06,3,2,6,30,4,2.861247228,0.916875948,8.467064738,1.311343146,1.311343146,0.776760251,1.01478978,1.345131754,1
3024,0.14,20,0.82,3,3,6,30,4,2.861247228,0.916875948,8.467064738,1.311343146,1.311343146,0.776760251,1.01478978,1.345131754,1
3024,0.14,30,1.01,9,1,6,30,4,2.861247228,0.916875948,8.467064738,1.311343146,1.311343146,0.776760251,1.01478978,1.345131754,1
3024,0.14,30,1.2,9,2,6,30,4,2.861247228,0.916875948,8.467064738,1.311343146,1.311343146,0.776760251,1.01478978,1.345131754,1
3024,0.14,30,1.29,9,3,6,30,4,2.861247228,0.916875948,8.467064738,1.311343146,1.311343146,0.776760251,1.01478978,1.345131754,1
3024,0.14,30,2.69,12,1,6,30,4,2.861247228,0.916875948,8.467064738,1.311343146,1.311343146,0.776760251,1.01478978,1.345131754,1
3024,0.14,30,2.74,12,2,6,30,4,2.861247228,0.916875948,8.467064738,1.311343146,1.311343146,0.776760251,1.01478978,1.345131754,1
3024,0.14,30,3.41,12,3,6,30,4,2.861247228,0.916875948,8.467064738,1.311343146,1.311343146,0.776760251,1.01478978,1.345131754,1
3024,0.14,30,1.33,3,1,6,30,4,2.861247228,0.916875948,8.467064738,1.311343146,1.311343146,0.776760251,1.01478978,1.345131754,1
3024,0.14,30,1.48,3,2,6,30,4,2.861247228,0.916875948,8.467064738,1.311343146,1.311343146,0.776760251,1.01478978,1.345131754,1
3024,0.14,30,1.58,3,3,6,30,4,2.861247228,0.916875948,8.467064738,1.311343146,1.311343146,0.776760251,1.01478978,1.345131754,1
3024,0.14,40,2.17,9,1,6,30,4,2.861247228,0.916875948,8.467064738,1.311343146,1.311343146,0.776760251,1.01478978,1.345131754,1
3024,0.14,40,4.31,9,2,6,30,4,2.861247228,0.916875948,8.467064738,1.311343146,1.311343146,0.776760251,1.01478978,1.345131754,1
3024,0.14,40,1.43,9,3,6,30,4,2.861247228,0.916875948,8.467064738,1.311343146,1.311343146,0.776760251,1.01478978,1.345131754,1
3024,0.14,40,3.11,12,1,6,30,4,2.861247228,0.916875948,8.467064738,1.311343146,1.311343146,0.776760251,1.01478978,1.345131754,1
3024,0.14,40,2.84,12,2,6,30,4,2.861247228,0.916875948,8.467064738,1.311343146,1.311343146,0.776760251,1.01478978,1.345131754,1
3024,0.14,40,3.08,12,3,6,30,4,2.861247228,0.916875948,8.467064738,1.311343146,1.311343146,0.776760251,1.01478978,1.345131754,1
3024,0.14,40,1.92,3,1,6,30,4,2.861247228,0.916875948,8.467064738,1.311343146,1.311343146,0.776760251,1.01478978,1.345131754,1
3024,0.14,40,1.9,3,2,6,30,4,2.861247228,0.916875948,8.467064738,1.311343146,1.311343146,0.776760251,1.01478978,1.345131754,1
3024,0.14,40,1.74,3,3,6,30,4,2.861247228,0.916875948,8.467064738,1.311343146,1.311343146,0.776760251,1.01478978,1.345131754,1
3026,0.07,0,2.11,9,1,0,30,1,0.686763119,2.448637943,0.936119491,0.297233133,0.297233133,0.940056498,0.907181123,3.022366057,1
3026,0.07,0,2.57,9,2,0,30,1,0.686763119,2.448637943,0.936119491,0.297233133,0.297233133,0.940056498,0.907181123,3.022366057,1
3026,0.07,0,2.54,9,3,0,30,1,0.686763119,2.448637943,0.936119491,0.297233133,0.297233133,0.940056498,0.907181123,3.022366057,1
3026,0.07,0,2.74,12,1,0,30,1,0.686763119,2.448637943,0.936119491,0.297233133,0.297233133,0.940056498,0.907181123,3.022366057,1
3026,0.07,0,2.79,12,2,0,30,1,0.686763119,2.448637943,0.936119491,0.297233133,0.297233133,0.940056498,0.907181123,3.022366057,1
3026,0.07,0,3.19,12,3,0,30,1,0.686763119,2.448637943,0.936119491,0.297233133,0.297233133,0.940056498,0.907181123,3.022366057,1
3026,0.07,0,0.66,3,1,0,30,1,0.686763119,2.448637943,0.936119491,0.297233133,0.297233133,0.940056498,0.907181123,3.022366057,1
3026,0.07,0,1.11,3,2,0,30,1,0.686763119,2.448637943,0.936119491,0.297233133,0.297233133,0.940056498,0.907181123,3.022366057,1
3026,0.07,0,0.7,3,3,0,30,1,0.686763119,2.448637943,0.936119491,0.297233133,0.297233133,0.940056498,0.907181123,3.022366057,1
3028,0.08,0,0.68,9,1,1,30,2,3.482883364,2.611748763,1.585020626,0.110574178,0.110574178,1.479567355,2.386871698,3.022366057,1
3028,0.08,0,0.8,9,2,1,30,2,3.482883364,2.611748763,1.585020626,0.110574178,0.110574178,1.479567355,2.386871698,3.022366057,1
3028,0.08,0,0.74,9,3,1,30,2,3.482883364,2.611748763,1.585020626,0.110574178,0.110574178,1.479567355,2.386871698,3.022366057,1
3028,0.08,0,2.43,12,1,1,30,2,3.482883364,2.611748763,1.585020626,0.110574178,0.110574178,1.479567355,2.386871698,3.022366057,1
3028,0.08,0,3.33,12,2,1,30,2,3.482883364,2.611748763,1.585020626,0.110574178,0.110574178,1.479567355,2.386871698,3.022366057,1
3028,0.08,0,2.18,12,3,1,30,2,3.482883364,2.611748763,1.585020626,0.110574178,0.110574178,1.479567355,2.386871698,3.022366057,1
3028,0.08,0,1.13,3,1,1,30,2,3.482883364,2.611748763,1.585020626,0.110574178,0.110574178,1.479567355,2.386871698,3.022366057,1
3028,0.08,0,1.05,3,2,1,30,2,3.482883364,2.611748763,1.585020626,0.110574178,0.110574178,1.479567355,2.386871698,3.022366057,1
3028,0.08,0,0.9,3,3,1,30,2,3.482883364,2.611748763,1.585020626,0.110574178,0.110574178,1.479567355,2.386871698,3.022366057,1
3028,0.08,10,0.77,9,1,1,30,2,3.482883364,2.611748763,1.585020626,0.110574178,0.110574178,1.479567355,2.386871698,3.022366057,1
3028,0.08,10,1.01,9,2,1,30,2,3.482883364,2.611748763,1.585020626,0.110574178,0.110574178,1.479567355,2.386871698,3.022366057,1
3028,0.08,10,0.79,9,3,1,30,2,3.482883364,2.611748763,1.585020626,0.110574178,0.110574178,1.479567355,2.386871698,3.022366057,1
3028,0.08,10,3.48,12,1,1,30,2,3.482883364,2.611748763,1.585020626,0.110574178,0.110574178,1.479567355,2.386871698,3.022366057,1
3028,0.08,10,.,12,2,1,30,2,3.482883364,2.611748763,1.585020626,0.110574178,0.110574178,1.479567355,2.386871698,3.022366057,1
3028,0.08,10,4.35,12,3,1,30,2,3.482883364,2.611748763,1.585020626,0.110574178,0.110574178,1.479567355,2.386871698,3.022366057,1
3028,0.08,10,2.13,3,1,1,30,2,3.482883364,2.611748763,1.585020626,0.110574178,0.110574178,1.479567355,2.386871698,3.022366057,1
3028,0.08,10,4.72,3,2,1,30,2,3.482883364,2.611748763,1.585020626,0.110574178,0.110574178,1.479567355,2.386871698,3.022366057,1
3028,0.08,10,2.15,3,3,1,30,2,3.482883364,2.611748763,1.585020626,0.110574178,0.110574178,1.479567355,2.386871698,3.022366057,1
3028,0.08,20,1.02,9,1,1,30,2,3.482883364,2.611748763,1.585020626,0.110574178,0.110574178,1.479567355,2.386871698,3.022366057,1
3028,0.08,20,1.13,9,2,1,30,2,3.482883364,2.611748763,1.585020626,0.110574178,0.110574178,1.479567355,2.386871698,3.022366057,1
3028,0.08,20,0.94,9,3,1,30,2,3.482883364,2.611748763,1.585020626,0.110574178,0.110574178,1.479567355,2.386871698,3.022366057,1
3028,0.08,20,2.32,12,1,1,30,2,3.482883364,2.611748763,1.585020626,0.110574178,0.110574178,1.479567355,2.386871698,3.022366057,1
3028,0.08,20,2.52,12,2,1,30,2,3.482883364,2.611748763,1.585020626,0.110574178,0.110574178,1.479567355,2.386871698,3.022366057,1
3028,0.08,20,2.18,12,3,1,30,2,3.482883364,2.611748763,1.585020626,0.110574178,0.110574178,1.479567355,2.386871698,3.022366057,1
3028,0.08,20,1.85,3,1,1,30,2,3.482883364,2.611748763,1.585020626,0.110574178,0.110574178,1.479567355,2.386871698,3.022366057,1
3028,0.08,20,1.86,3,2,1,30,2,3.482883364,2.611748763,1.585020626,0.110574178,0.110574178,1.479567355,2.386871698,3.022366057,1
3028,0.08,20,1.53,3,3,1,30,2,3.482883364,2.611748763,1.585020626,0.110574178,0.110574178,1.479567355,2.386871698,3.022366057,1
3028,0.08,30,0.87,9,1,1,30,2,3.482883364,2.611748763,1.585020626,0.110574178,0.110574178,1.479567355,2.386871698,3.022366057,1
3028,0.08,30,0.95,9,2,1,30,2,3.482883364,2.611748763,1.585020626,0.110574178,0.110574178,1.479567355,2.386871698,3.022366057,1
3028,0.08,30,0.86,9,3,1,30,2,3.482883364,2.611748763,1.585020626,0.110574178,0.110574178,1.479567355,2.386871698,3.022366057,1
3028,0.08,30,1.49,12,1,1,30,2,3.482883364,2.611748763,1.585020626,0.110574178,0.110574178,1.479567355,2.386871698,3.022366057,1
3028,0.08,30,1.58,12,2,1,30,2,3.482883364,2.611748763,1.585020626,0.110574178,0.110574178,1.479567355,2.386871698,3.022366057,1
3028,0.08,30,1.54,12,3,1,30,2,3.482883364,2.611748763,1.585020626,0.110574178,0.110574178,1.479567355,2.386871698,3.022366057,1
3028,0.08,30,1.62,3,1,1,30,2,3.482883364,2.611748763,1.585020626,0.110574178,0.110574178,1.479567355,2.386871698,3.022366057,1
3028,0.08,30,1.48,3,2,1,30,2,3.482883364,2.611748763,1.585020626,0.110574178,0.110574178,1.479567355,2.386871698,3.022366057,1
3028,0.08,30,1.54,3,3,1,30,2,3.482883364,2.611748763,1.585020626,0.110574178,0.110574178,1.479567355,2.386871698,3.022366057,1
3029,.,0,.,9,1,1,30,2,3.862283298,3.475220498,5.018119942,.,.,1.74779227,3.191292218,3.022366057,1
3029,.,0,.,9,2,1,30,2,3.862283298,3.475220498,5.018119942,.,.,1.74779227,3.191292218,3.022366057,1
3029,.,0,.,9,3,1,30,2,3.862283298,3.475220498,5.018119942,.,.,1.74779227,3.191292218,3.022366057,1
3029,.,0,.,12,1,1,30,2,3.862283298,3.475220498,5.018119942,.,.,1.74779227,3.191292218,3.022366057,1
3029,.,0,.,12,2,1,30,2,3.862283298,3.475220498,5.018119942,.,.,1.74779227,3.191292218,3.022366057,1
3029,.,0,.,12,3,1,30,2,3.862283298,3.475220498,5.018119942,.,.,1.74779227,3.191292218,3.022366057,1
3029,.,0,.,3,1,1,30,2,3.862283298,3.475220498,5.018119942,.,.,1.74779227,3.191292218,3.022366057,1
3029,.,0,.,3,2,1,30,2,3.862283298,3.475220498,5.018119942,.,.,1.74779227,3.191292218,3.022366057,1
3029,.,0,.,3,3,1,30,2,3.862283298,3.475220498,5.018119942,.,.,1.74779227,3.191292218,3.022366057,1
3029,.,10,.,9,1,1,30,2,3.862283298,3.475220498,5.018119942,.,.,1.74779227,3.191292218,3.022366057,1
3029,.,10,.,9,2,1,30,2,3.862283298,3.475220498,5.018119942,.,.,1.74779227,3.191292218,3.022366057,1
3029,.,10,.,9,3,1,30,2,3.862283298,3.475220498,5.018119942,.,.,1.74779227,3.191292218,3.022366057,1
3029,.,10,.,12,1,1,30,2,3.862283298,3.475220498,5.018119942,.,.,1.74779227,3.191292218,3.022366057,1
3029,.,10,.,12,2,1,30,2,3.862283298,3.475220498,5.018119942,.,.,1.74779227,3.191292218,3.022366057,1
3029,.,10,.,12,3,1,30,2,3.862283298,3.475220498,5.018119942,.,.,1.74779227,3.191292218,3.022366057,1
3029,.,10,.,3,1,1,30,2,3.862283298,3.475220498,5.018119942,.,.,1.74779227,3.191292218,3.022366057,1
3029,.,10,.,3,2,1,30,2,3.862283298,3.475220498,5.018119942,.,.,1.74779227,3.191292218,3.022366057,1
3029,.,10,.,3,3,1,30,2,3.862283298,3.475220498,5.018119942,.,.,1.74779227,3.191292218,3.022366057,1
3029,.,20,.,9,1,1,30,2,3.862283298,3.475220498,5.018119942,.,.,1.74779227,3.191292218,3.022366057,1
3029,.,20,.,9,2,1,30,2,3.862283298,3.475220498,5.018119942,.,.,1.74779227,3.191292218,3.022366057,1
3029,.,20,.,9,3,1,30,2,3.862283298,3.475220498,5.018119942,.,.,1.74779227,3.191292218,3.022366057,1
3029,.,20,.,12,1,1,30,2,3.862283298,3.475220498,5.018119942,.,.,1.74779227,3.191292218,3.022366057,1
3029,.,20,.,12,2,1,30,2,3.862283298,3.475220498,5.018119942,.,.,1.74779227,3.191292218,3.022366057,1
3029,.,20,.,12,3,1,30,2,3.862283298,3.475220498,5.018119942,.,.,1.74779227,3.191292218,3.022366057,1
3029,.,20,.,3,1,1,30,2,3.862283298,3.475220498,5.018119942,.,.,1.74779227,3.191292218,3.022366057,1
3029,.,20,.,3,2,1,30,2,3.862283298,3.475220498,5.018119942,.,.,1.74779227,3.191292218,3.022366057,1
3029,.,20,.,3,3,1,30,2,3.862283298,3.475220498,5.018119942,.,.,1.74779227,3.191292218,3.022366057,1
3029,.,30,.,9,1,1,30,2,3.862283298,3.475220498,5.018119942,.,.,1.74779227,3.191292218,3.022366057,1
3029,.,30,.,9,2,1,30,2,3.862283298,3.475220498,5.018119942,.,.,1.74779227,3.191292218,3.022366057,1
3029,.,30,.,9,3,1,30,2,3.862283298,3.475220498,5.018119942,.,.,1.74779227,3.191292218,3.022366057,1
